*X,dH_J_mol,dS_J_mol_K
0.5354236,-9827.82,27.39558
0.5363728,-9830.20,27.35011
0.5373220,-9832.57,27.30464
0.5382713,-9834.94,27.25916
0.5392205,-9837.32,27.21369
0.5401697,-9839.69,27.16822
0.5411189,-9842.06,27.12275
0.5420681,-9844.44,27.07728
0.5430173,-9846.81,27.03180
0.5439665,-9850.62,26.98633
0.5449157,-9859.47,26.94086
0.5458649,-9882.17,26.84891
0.5468141,-9905.14,26.75608
0.5477633,-9928.11,26.66324
0.5487125,-9951.08,26.57040
0.5496617,-9974.05,26.47756
0.5506109,-9997.02,26.38472
0.5515601,-10019.99,26.29188
0.5525093,-10042.96,26.19904
0.5534585,-10065.93,26.10620
0.5544077,-10088.90,26.01336
0.5553569,-10104.31,25.94590
0.5563061,-10109.48,25.91274
0.5572553,-10114.66,25.87959
0.5582045,-10119.83,25.84643
0.5591537,-10127.53,25.81327
0.5601029,-10135.65,25.78012
0.5610521,-10143.77,25.74696
0.5620013,-10151.90,25.71380
0.5629505,-10160.02,25.68065
0.5638997,-10168.14,25.64749
0.5648489,-10176.26,25.61433
0.5657981,-10178.98,25.59929
0.5667473,-10180.89,25.58698
0.5676965,-10182.79,25.57466
0.5686457,-10184.70,25.56235
0.5695949,-10186.61,25.55003
0.5705442,-10188.51,25.53772
0.5714934,-10190.42,25.52540
0.5724426,-10192.33,25.51309
0.5733918,-10195.10,25.50077
0.5743410,-10198.78,25.48846
0.5752902,-10201.38,25.47970
0.5762394,-10201.67,25.47876
0.5771886,-10201.95,25.47781
0.5781378,-10202.23,25.47686
0.5790870,-10202.51,25.47591
0.5800362,-10202.80,25.47497
0.5809854,-10203.08,25.47402
0.5819346,-10203.36,25.47307
0.5828838,-10203.64,25.47212
0.5838330,-10203.93,25.47118
0.5847822,-10204.21,25.47023
0.5857314,-10204.06,25.47072
0.5866806,-10203.78,25.47166
0.5876298,-10202.76,25.47261
0.5885790,-10196.58,25.47356
0.5895282,-10190.41,25.47451
0.5904774,-10184.24,25.47545
0.5914266,-10178.07,25.47640
0.5923758,-10171.89,25.47735
0.5933250,-10165.72,25.47830
0.5942742,-10159.55,25.47924
0.5952234,-10153.49,25.47981
0.5961726,-10147.88,25.47886
0.5971218,-10142.27,25.47791
0.5980710,-10136.67,25.47697
0.5990202,-10131.06,25.47602
0.5999694,-10125.45,25.47507
0.6009186,-10119.84,25.47413
0.6018678,-10114.23,25.47318
0.6028171,-10112.67,25.47223
0.6037663,-10112.36,25.47128
0.6047155,-10112.06,25.47034
0.6056647,-10111.21,25.47122
0.6066139,-10110.06,25.47312
0.6075631,-10108.92,25.47501
0.6085123,-10107.77,25.47691
0.6094615,-10106.62,25.47880
0.6104107,-10105.47,25.48070
0.6113599,-10104.32,25.48259
0.6123091,-10103.17,25.48449
0.6132583,-10102.02,25.48638
0.6142075,-10100.87,25.48828
0.6151567,-10099.78,25.49000
0.6161059,-10099.19,25.49000
0.6170551,-10098.84,25.49000
0.6180043,-10098.84,25.49000
0.6189535,-10098.84,25.49000
0.6199027,-10098.84,25.49000
0.6208519,-10098.84,25.49000
0.6218011,-10098.84,25.49000
0.6227503,-10098.84,25.49000
0.6236995,-10098.84,25.49000
0.6246487,-10098.84,25.49000
0.6255979,-10099.29,25.48848
0.6265471,-10100.14,25.48564
0.6274963,-10100.99,25.48280
0.6284455,-10101.83,25.47996
0.6293947,-10102.68,25.47711
0.6303439,-10103.53,25.47427
0.6312931,-10104.38,25.47143
0.6322423,-10105.22,25.46859
0.6331915,-10106.07,25.46575
0.6341407,-10106.92,25.46290
0.6350900,-10107.76,25.46006
0.6360392,-10109.16,25.45537
0.6369884,-10110.58,25.45063
0.6379376,-10111.99,25.44589
0.6388868,-10113.40,25.44116
0.6398360,-10114.81,25.43642
0.6407852,-10116.23,25.43168
0.6417344,-10117.64,25.42695
0.6426836,-10119.05,25.42221
0.6436328,-10120.46,25.41747
0.6445820,-10121.87,25.41274
0.6455312,-10124.00,25.40560
0.6464804,-10127.11,25.39518
0.6474296,-10130.22,25.38476
0.6483788,-10133.32,25.37434
0.6493280,-10136.43,25.36392
0.6502772,-10139.54,25.35350
0.6512264,-10142.64,25.34308
0.6521756,-10145.75,25.33266
0.6531248,-10148.86,25.32224
0.6540740,-10151.96,25.31182
0.6550232,-10155.07,25.30140
0.6559724,-10159.16,25.28769
0.6569216,-10163.39,25.27348
0.6578708,-10167.63,25.25927
0.6588200,-10171.87,25.24506
0.6597692,-10176.10,25.23085
0.6607184,-10180.34,25.21664
0.6616676,-10184.58,25.20243
0.6626168,-10188.81,25.18822
0.6635660,-10193.05,25.17401
0.6645152,-10197.29,25.15980
0.6654644,-10201.79,25.14471
0.6664136,-10206.87,25.12766
0.6673628,-10211.95,25.11061
0.6683121,-10217.04,25.09355
0.6692613,-10222.12,25.07650
0.6702105,-10227.21,25.05945
0.6711597,-10232.29,25.04240
0.6721089,-10237.38,25.02535
0.6730581,-10242.46,25.00829
0.6740073,-10247.54,24.99124
0.6749565,-10252.63,24.97419
0.6759057,-10258.14,24.95571
0.6768549,-10263.79,24.93676
0.6778041,-10269.44,24.91782
0.6787533,-10275.08,24.89887
0.6797025,-10280.73,24.87992
0.6806517,-10286.38,24.86097
0.6816009,-10292.03,24.84203
0.6825501,-10297.68,24.82308
0.6834993,-10303.33,24.80413
0.6844485,-10308.98,24.78519
0.6853977,-10314.52,24.76662
0.6863469,-10319.60,24.74957
0.6872961,-10324.68,24.73251
0.6882453,-10329.77,24.71546
0.6891945,-10334.85,24.69841
0.6901437,-10339.94,24.68136
0.6910929,-10345.02,24.66430
0.6920421,-10350.10,24.64725
0.6929913,-10355.19,24.63020
0.6939405,-10360.27,24.61315
0.6948897,-10365.36,24.59610
0.6958389,-10369.17,24.58330
0.6967881,-10372.28,24.57288
0.6977373,-10375.38,24.56246
0.6986865,-10378.49,24.55204
0.6996357,-10381.60,24.54162
0.7005850,-10384.70,24.53120
0.7015342,-10387.81,24.52078
0.7024834,-10390.92,24.51036
0.7034326,-10394.03,24.49994
0.7043818,-10396.89,24.48952
0.7053310,-10398.50,24.48016
0.7062802,-10396.75,24.48206
0.7072294,-10395.01,24.48395
0.7081786,-10393.26,24.48585
0.7091278,-10391.52,24.48774
0.7100770,-10389.77,24.48964
0.7110262,-10388.02,24.49153
0.7119754,-10386.28,24.49343
0.7129246,-10384.53,24.49532
0.7138738,-10382.79,24.49722
0.7148230,-10381.04,24.49911
0.7157722,-10378.25,24.50452
0.7167214,-10374.53,24.51305
0.7176706,-10370.80,24.52158
0.7186198,-10367.08,24.53010
0.7195690,-10355.44,24.53863
0.7205182,-10342.31,24.54715
0.7214674,-10329.17,24.55568
0.7224166,-10316.04,24.56421
0.7233658,-10302.90,24.57273
0.7243150,-10289.77,24.58126
0.7252642,-10276.63,24.58978
0.7262134,-10264.32,24.59554
0.7271626,-10252.03,24.60122
0.7281118,-10239.74,24.60691
0.7290610,-10227.46,24.61259
0.7300102,-10215.17,24.61828
0.7309594,-10202.88,24.62396
0.7319086,-10190.59,24.62964
0.7328579,-10178.30,24.63533
0.7338071,-10170.50,24.64101
0.7347563,-10167.63,24.64670
0.7357055,-10165.94,24.64841
0.7366547,-10165.90,24.64462
0.7376039,-10165.85,24.64083
0.7385531,-10165.81,24.63704
0.7395023,-10165.76,24.63326
0.7404515,-10165.72,24.62947
0.7414007,-10165.67,24.62568
0.7423499,-10165.63,24.62189
0.7432991,-10165.58,24.61810
0.7442483,-10165.54,24.61431
0.7451975,-10165.50,24.61052
0.7461467,-10168.13,24.59774
0.7470959,-10171.19,24.58353
0.7480451,-10174.39,24.56932
0.7489943,-10178.62,24.55511
0.7499435,-10182.86,24.54090
0.7508927,-10187.10,24.52669
0.7518419,-10191.33,24.51248
0.7527911,-10195.57,24.49827
0.7537403,-10199.81,24.48406
0.7546895,-10204.04,24.46985
0.7556387,-10209.41,24.45186
